State ,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014","Population, 2012","Population, 2014"
United States,"United States
(39.759995942000046, -98.49999896099996)",3.3,3.1,1.3,1.2,6.7,6.2,3.1,3,5.2,4.9,1.5,1.4,314000000.00,318857056.00
Alabama,"Alabama
(32.84057234800002, -86.63185738799996)",5.5,5.5,2.7,2.1,10.3,10,5,5.5,8.4,8.6,2.9,2.6,4822023.00,4849377.00
Alaska,"Alaska
(64.84507799500005, -147.72205958799998)",,2.8,,,,,,,,,,,731449.00,737732.00
Arizona,"Arizona
(34.86597351900008, -111.76380664699997)",3.6,3,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5,6553255.00,6745408.00
Arkansas,"Arkansas
(34.74865032200006, -92.27448966799994)",5.1,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2,2.2,2949131.00,2994079.00
California,"California
(37.63864210000003, -120.99999644699994)",2,2.2,0.9,1,4.5,4.6,1.8,2,3.2,3.4,1,1.1,38041430.00,39250017.00
Colorado,"Colorado
(38.84384342200008, -106.13360911499996)",2.5,3,,1.7,5.6,5.6,2,2.6,3.9,4.6,1.1,1.3,5187582.00,5540545.00
Connecticut,"Connecticut
(41.56266070000004, -72.64983977999998)",2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1,,3590347.00,3596677.00
Delaware,"Delaware
(39.00883389200004, -75.57773597599999)",3.8,5.2,,,,11.7,4,4.6,6.6,7.4,,,917092.00,935614.00
District of Columbia,"District of Columbia
(38.89037258400003, -77.03195678499998)",,,,,,,,,,,,,,
Florida,"Florida
(28.932042722000062, -81.92895768899996)",3.7,3.5,1.2,1.2,8,7.4,3.3,3.1,5.7,5.4,1.7,1.7,19317568.00,20612439.00
Georgia,"Georgia
(32.839683200000024, -83.62757885599996)",3,2.7,1,0.8,5.8,5.2,3.1,2.9,4.9,4.7,1.2,0.9,9919945.00,10310371.00
Hawaii,"Hawaii
(21.30485232600006, -157.85774798099996)",3.8,2.2,,,,,3.2,,5.7,3.6,,,1392313.00,1419561.00
Idaho,"Idaho
(43.68263174800006, -114.36372693399994)",3.6,3.3,,,8.7,,2.7,3,5.8,4.8,,,1595728.00,1634464.00
Illinois,"Illinois
(40.48501223300008, -88.99770922699997)",2.5,2.4,0.7,0.7,6,5.5,2.1,2.2,4,3.7,1,1.3,12875255.00,12801539.00
Indiana,"Indiana
(39.766913353000064, -86.14995646699998)",3.6,3.2,1.2,,7.2,6.3,3.5,3.2,6,5.1,1.3,1.3,6537334.00,6596855.00
Iowa,"Iowa
(42.469401411000035, -93.81648725599996)",3.2,3,,,5.9,4.6,2.9,3.4,5.1,4.8,,,3074186.00,3107126.00
Kansas,"Kansas
(38.347742794000055, -98.20077822999997)",3.4,3.6,2.3,,6,7.4,3,3.3,6,5.8,,1.4,2885905.00,2904021.00
Kentucky,"Kentucky
(37.64597313300004, -84.77496771599994)",4,3.9,1.8,2,7.2,7.8,3.7,3.4,6.5,6.5,1.5,1.3,4380415.00,4413457.00
Louisiana,"Louisiana
(31.312663324000027, -92.44567750499994)",5.2,5.4,2.8,1.8,8.6,9.4,5.1,5.7,8.3,9.1,2.4,1.9,4601893.00,4649676.00
Maine,"Maine
(45.25422910300006, -68.98502586699993)",3.8,3.3,,,,,2.8,3.1,6.6,5.1,,,1329192.00,1330089.00
Maryland,"Maryland
(39.290582950000044, -76.60925984299996)",2.7,2.2,1.6,,5.8,5.4,2.2,1.8,4.1,3.5,1.4,0.9,5884563.00,6016447.00
Massachusetts,"Massachusetts
(42.27687400000008, -72.08268726299997)",1.8,1.9,,,3.3,4,1.7,1.8,2.7,3.1,0.9,0.9,6646144.00,6731484.00
Michigan,"Michigan
(44.66132238800003, -84.71438555599997)",2.7,2.2,1.1,1,6.8,5.1,2,1.8,4.3,3.3,1.2,1.1,9883360.00,9928301.00
Minnesota,"Minnesota
(46.35564896600005, -94.79419983199995)",2.1,1.9,,,3.7,3.5,2.2,2.1,3.2,3,1.2,0.9,5379139.00,5519952.00
Mississippi,"Mississippi
(32.745513440000025, -89.53802722999995)",6.1,6,2.6,2.8,12,10.8,5.7,5.8,9.8,9.4,2.7,2.8,2984926.00,2984926.00
Missouri,"Missouri
(38.63579147100006, -92.56629944499997)",4.8,3.4,1.9,,9.5,6.9,4.4,3.2,7.8,5.6,1.8,1.3,6021988.00,6093000.00
Montana,"Montana
(47.06652795700006, -109.42441587999997)",9.4,7.3,,,21.4,15.4,7.2,6.9,14.9,10.2,4,4.3,1005141.00,1023579.00
Nebraska,"Nebraska
(41.64104362100005, -99.36571888999998)",4,3.3,,,6.5,7,3.5,3,6.4,5,,,1855525.00,1881503.00
Nevada,"Nevada
(39.49324221300003, -117.07183885899997)",2.8,3.3,,,4.6,6.4,3.2,2.7,4.2,4.9,1.4,1.7,2758931.00,2839099.00
New Hampshire,"New Hampshire
(43.65595283500005, -71.50035697299995)",2.4,2.4,,,,,2.9,,4.1,3.2,,,1320718.00,1326813.00
New Jersey,"New Jersey
(40.130570807000026, -74.27368796999997)",1.8,1.8,,,4.6,3.6,1.4,1.7,2.9,2.9,0.9,0.8,8864590.00,8944469.00
New Mexico,"New Mexico
(34.52088149400004, -106.24057817299996)",4.8,5.7,,,9.1,11.2,4.5,5.1,6.9,8.6,2.9,2.8,2085538.00,2085572.00
New York,"New York
(42.82700376100007, -75.54396609999998)",1.7,1.6,0.6,0.7,3.3,3,1.7,1.5,2.7,2.4,0.8,0.8,19570261.00,17745289.00
North Carolina,"North Carolina
(35.466220159000045, -79.15924997399998)",4.2,3.8,1.7,1.4,8,7.7,4,3.6,6.8,6.3,1.7,1.5,9752073.00,10146788.00
North Dakota,"North Dakota
(47.475318609000055, -100.11842789099995)",11.3,7.2,,,15.3,15.2,12,6.1,17.4,10.7,,,699628.00,739482.00
Ohio,"Ohio
(40.060212455000055, -82.40425667899996)",3.5,2.7,1.2,0.8,6.8,5.6,3.3,2.6,5.5,4.2,1.6,1.3,11544225.00,11646273.00
Oklahoma,"Oklahoma
(35.472030747000076, -97.52106835299998)",5.6,4,,,10.5,7.4,5.8,3.9,9.3,6,1.9,2.1,3814820.00,3878051.00
Oregon,"Oregon
(44.56745049300008, -120.15502935599994)",2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4,3899353.00,3970239.00
Pennsylvania,"Pennsylvania
(40.79373362300004, -77.86069690799997)",3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1,12763536.00,12784227.00
Rhode Island,"Rhode Island
(41.70828106100004, -71.52246566099996)",2.3,,,,,,,,,,,,1050292.00,1055173.00
South Carolina,"South Carolina
(33.99882216300006, -81.04536596899999)",7.6,5.8,2.8,2,14.2,12.4,7.6,5.3,12.3,9,3.2,2.9,4723723.00,4832482.00
South Dakota,"South Dakota
(44.35313004200003, -100.37352915599996)",5.7,5.6,,,,,,6.2,7.4,8.7,,,833354.00,853175.00
Tennessee,"Tennessee
(35.68094072700006, -85.77448666899994)",4.6,4.1,1.6,,8,8.2,4.9,4.1,7.5,6.8,1.8,1.5,6456243.00,6651194.00
Texas,"Texas
(31.827240467000024, -99.42676785299994)",4.9,5.4,2.1,2.3,10,10,4.7,5.3,7.6,8.1,2.4,2.7,26059203.00,27862596.00
Utah,"Utah
(39.36070123200005, -111.58712831499997)",1.2,2,,,,,1.9,2.3,1.7,3,,,2855287.00,2942902.00
Vermont,"Vermont
(43.62538389600007, -72.51763667599994)",3.4,,,,,,,,,,,,626011.00,626011.00
Virginia,"Virginia
(37.542680705000066, -78.45788932099998)",2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2,8185867.00,8411808.00
Washington,"Washington
(47.52228790000004, -120.47002813699999)",2.1,1.9,,,4,3.4,2,1.9,3.6,2.9,0.7,0.9,6897012.00,7288000.00
West Virginia,"West, Virginia
(38.66551127300005, -80.71263755899997)",5.6,4.7,,,12.9,10,4.4,4,9.3,7.1,,,1855413.00,1850326.00
Wisconsin,"Wisconsin
(44.39319064600005, -89.81636640199997)",3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2,5726398.00,5778708.00
Wyoming,"Wyoming
(43.23554100600006, -108.10982701399996)",7.1,8.2,,,17.3,,,8.1,11.3,13.1,,,576412.00,584153.00
